Price,Close,Close,Close,Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
2022-05-26,141.69529724121094,107.27960968017578,119.25215911865234,190.73109436035156,259.798095703125,17.822757720947266,,235.91000366210938,204.1736602783203,40.43785095214844,142.24717525757603,108.13252659391175,119.94312881621146,191.9254622846611,260.98032015992106,18.063375657281167,,239.55667114257812,205.33869096950545,40.566223123321485,135.1515728345783,104.72432138922662,118.11897275084345,181.4050374400339,255.43067249294842,15.996650914119456,,217.8866729736328,200.37507582744894,39.9243549218296,135.3979480231376,105.1741741646191,118.26636893571705,182.02213943091002,256.2513925154789,16.010628703746065,,220.47332763671875,200.80584498438353,40.21319597978228,90601500,37948000,15990900,23056500,25002100,996575000,,106003200,9212300,28197600
2022-05-27,147.4703369140625,111.7820816040039,120.93810272216797,194.2146759033203,266.9696350097656,18.78124237060547,,253.2100067138672,208.4127960205078,41.23377227783203,147.509750328954,111.78357744330532,120.93810272216797,194.41373469239704,267.0673461571398,18.8511313279589,,253.26666259765625,208.7554424356617,41.278701803879784,143.15383866233717,108.61920153555575,118.97574467438707,188.9096764041194,261.4199877190789,18.07136671001473,,240.17666625976562,205.24078085485687,40.21640664505989,143.28195857644457,108.96206764548037,119.91546721163856,190.46235622101486,262.31888853076333,18.157231102333768,,241.0833282470703,205.59322698437364,40.27417632667561,90978500,37914000,11177800,22562700,26910800,738379000,,89295000,4897200,25299900
2022-05-31,146.6819305419922,113.22069549560547,121.82254028320312,192.7316436767578,265.631103515625,18.642459869384766,,252.75332641601562,207.71771240234375,41.28191375732422,148.47554915584195,115.18430708649075,122.67012795330899,196.67307419390448,268.46454814999765,19.169624397490942,,259.6000061035156,209.85197391479062,41.689500567988986,144.71092900811684,111.54520378568205,119.5008926007527,191.10928506667827,262.75856845520855,18.320968803583344,,244.7433319091797,204.7219274265541,40.89357983527755,146.90860654542266,112.21002456042172,119.9338872738811,193.97577998823948,266.27596136768364,18.949971241226027,,257.9466552734375,205.9652812677825,40.90641999144101,103718400,50012000,17015000,26131100,37827700,664100000,,101914500,9586400,36912300
2022-06-01,146.5538330078125,113.35008239746094,119.68515014648438,187.75509643554688,266.16845703125,18.291015625,,246.7899932861328,205.52471923828125,40.26133346557617,149.5398992781837,116.54431425454679,122.41216894216366,198.59401125850084,271.31750913902687,19.022855747717312,,257.32666015625,209.6170118460038,41.374978153391716,145.53875333248308,112.71113883445743,118.54274202202758,184.13217214250176,263.843069041527,18.093328926485647,,243.63999938964844,204.43802636114285,40.014215579699595,147.7265663476628,114.30850533505887,122.41216894216366,195.58817370948535,268.8846597665916,18.694377690643833,,251.72000122070312,207.6002422817072,41.240185911493015,74286600,36606000,10768000,36623500,25292200,544514000,,77247900,5246100,28534800
2022-06-02,149.01754760742188,117.06282043457031,121.61064147949219,197.92715454101562,268.2789001464844,19.56100845336914,,258.3333435058594,210.5372772216797,40.922462463378906,149.07667523553576,117.3385028248278,121.61984934606484,199.99739914826284,268.34730093627996,19.587966171371825,,264.2099914550781,210.7330773255533,40.928878868012,144.73061411862278,112.40907510915945,118.54273497341308,186.84936016446258,255.59678544631987,18.16921437974034,,242.06666564941406,206.65058465849748,39.90188684539827,145.68655087325112,113.4575596211355,119.67592110555746,187.56598388186393,258.3813893513853,18.2630655535413,,244.1566619873047,207.44358478926935,40.29984717236439,72348100,37992000,8374800,31951600,44008200,648656000,,93473100,5337200,23214300
2022-06-03,143.27207946777344,113.99598693847656,119.91549682617188,189.8850555419922,263.8235168457031,18.690383911132812,,234.51666259765625,208.18763732910156,40.21961975097656,145.82452236693706,115.76801720266153,121.39877907608587,195.6877090097721,267.17482718772595,19.301417132077827,,247.79666137695312,209.71491403719375,40.893581057153966,142.36542073655667,112.97835314878134,119.75887870758656,188.88974651192106,262.25047775674227,18.49269719667944,,233.4166717529297,206.83660611532233,40.14580354208526,144.77002952584698,115.51024691373239,120.88285726008364,195.0606594609199,264.1068702171186,19.051812636929697,,243.22666931152344,208.48134496291124,40.65287954128671,88570300,26136000,8596000,19465000,28059000,598779000,,112393800,4352500,18302700
2022-06-06,144.02105712890625,116.2646484375,119.51930236816406,193.3387908935547,262.5826721191406,18.756277084350586,,238.27999877929688,208.4715576171875,40.075191497802734,146.41583140720172,118.77912375848886,121.9699444128904,195.99626434360303,267.8880562545602,19.306405915466303,,244.86666870117188,213.01418882321926,40.53412786111906,142.799030970996,115.61127043127397,119.27056345176958,187.5162266373198,261.0877840528828,18.53462819912293,,234.35000610351562,207.63938848807905,39.98532877921396,144.89815206168706,116.14919546785866,120.7722610479044,193.08001599733524,265.81671120246483,19.10871922629009,,244.35333251953125,210.92888108131518,40.38007906045821,71598400,33542000,11323500,30574200,22400300,422406000,,84204600,3965100,19855500
2022-06-07,146.5538330078125,116.59207153320312,119.83256530761719,194.7322235107422,266.2466735839844,18.896059036254883,,238.8866729736328,209.9988250732422,39.59379577636719,146.83962162801657,117.13099882916678,120.06288851542811,195.60810039740878,266.86222112303204,18.969941371656333,,239.99667358398438,210.45896355403775,39.63230890177781,142.01067364318868,114.50455590836914,118.49667945606346,190.59174910834548,259.8372147630866,18.159225708286073,,230.0933380126953,206.29814767263318,38.794664951758826,142.25704884726255,114.93101432601036,118.69015713606234,191.02967236446682,260.5211630991976,18.442776806994864,,234.0,206.68974789779955,38.91020432799069,67808200,31590000,6722200,18828700,22860700,388914000,,72808500,4493300,47707800
2022-06-08,145.81468200683594,116.63636779785156,117.92548370361328,195.71755981445312,264.20458984375,18.622438430786133,,241.86666870117188,209.01980590820312,39.250396728515625,147.69697680968412,118.00632111258021,119.26135551213065,201.08227468028787,266.7351505141469,19.15370876497546,,249.9633331298828,211.04637513132613,39.76710288619074,145.32193168448424,116.04519240682265,116.91206298381667,193.49802501204618,263.4229304866885,18.50959246024592,,239.17666625976562,208.36386732632116,39.13807105949727,146.42568759453718,116.20592298566977,118.84677654504776,193.7567998828814,265.4747453002484,18.773230513658223,,240.086669921875,209.2743445562408,39.266443252661105,53950200,26108000,8422100,22267200,17372300,363252000,,76210500,3646300,22522800
2022-06-09,140.5718231201172,114.2890853881836,115.44719696044922,183.13687133789062,258.7135314941406,18.02325439453125,,239.7066650390625,201.78488159179688,38.8395881652832,145.80482957531117,117.7361061248518,118.01761171012888,198.514393638331,266.45176436523536,18.9070411835203,,255.54666137695312,209.2254052304049,39.90830324724143,140.46341743862806,114.2298668645756,115.4103444054779,182.81836514135458,258.5571996419541,18.016264022834164,,239.32666015625,201.696773783679,38.82996172281357,144.9474487547002,115.77398284404414,117.34506488248813,193.368647499835,261.634906575168,18.455661264165464,,249.33999633789062,208.12889773232737,39.15410582054614,69473000,25798000,13560100,23501600,26439700,395574000,,96491400,5138600,19880100
2022-06-10,135.1417236328125,110.63257598876953,110.14054870605469,174.74642944335938,247.1843719482422,16.95073127746582,,232.22999572753906,195.32334899902344,39.057823181152344,138.7190811555441,112.74000091085708,113.687524311514,182.2411059000566,254.60017757455358,17.672739690299487,,239.5,199.15130263998995,39.391597395443824,135.07273136179253,109.84085939587028,109.92864828539194,174.19900639005766,246.73492150280825,16.845873774339914,,227.913330078125,195.0002721377527,38.300415713133056,138.24604500265073,111.90996957203606,112.94127242040233,182.18137459561396,254.60017757455358,17.575872545670485,,235.1566619873047,197.41844127084283,38.43200157947351,91437900,41452000,12945200,27450800,31422800,465248000,,97536600,5162500,25238100
2022-06-13,129.96783447265625,105.88627624511719,106.86076354980469,163.48947143554688,236.70059204101562,15.625548362731934,,215.73666381835938,188.22547912597656,38.322879791259766,133.23968891028474,108.27385604845647,108.66649682492434,171.77045064695062,243.3054725413383,16.289636613349888,,226.63333129882812,191.77930950056717,38.91019191150858,129.53421176750797,105.61407904185772,106.00396085523651,163.2605545891736,235.9873483160347,15.58460420779417,,214.68333435058594,187.0702482245413,38.220180604812576,130.94347052169286,106.27839876159578,107.66229091856432,169.7897800204355,239.4851959678667,15.978064089326375,,223.1666717529297,188.9401710618694,38.4287890159358,122207100,47252000,16805600,31749300,46135800,604153000,,102767400,7119200,24897900
2022-06-14,130.83505249023438,106.20772552490234,105.08265686035156,162.96194458007812,238.87940979003906,15.814290046691895,,220.88999938964844,189.4590606689453,38.33893585205078,131.9486729653345,107.41097248913957,108.08607342337172,165.96778212800888,240.10072459035263,16.043974270605464,,226.3300018310547,190.26184551310834,38.51224123141724,129.57361294213226,105.29658482140374,104.3087742649818,160.60306701933558,235.96778457187938,15.390870591285378,,211.73666381835938,187.72619926218175,37.92492896498796,131.19969793288186,106.02808814729501,106.45538822375322,165.2511584054928,238.26386235992007,15.709433501416706,,218.2866668701172,188.6758453766134,38.23302660101422,84784300,33706000,13357900,27244300,28651500,469680000,,97988700,6441200,21544200
2022-06-15,133.46633911132812,109.24222564697266,106.32640838623047,168.5555877685547,245.9825897216797,16.504343032836914,,233.0,192.043701171875,38.313255310058594,135.3486488673454,110.89332844630779,107.74519315234836,171.3524036708078,249.44136191947268,16.844875148826677,,235.663330078125,194.6576709970878,38.643819512794764,130.24376297463832,107.15719279182463,104.26270739588247,163.21076803059321,240.7651359682679,15.904166178242575,,218.14999389648438,188.19616214608172,37.83827242110319,132.34286902822936,108.0285229467679,106.51987903615564,166.41566427393508,242.61176352857115,16.07293416311362,,220.9166717529297,191.86747059810963,38.502610865276374,91533000,39698000,14083500,30008300,33111700,563936000,,119131800,6490000,25914000
2022-06-16,128.1742401123047,105.52896881103516,104.50225067138672,160.11538696289062,239.34841918945312,15.579610824584961,,213.10000610351562,185.0828857421875,38.71123123168945,130.4704589325547,108.1315239116339,105.26692544149364,164.30564539869255,241.742193503282,15.920143868962862,,225.1666717529297,187.84370172110553,39.077094954396095,127.16902501936201,104.63772962441162,103.06503604142718,158.8613028318742,237.44317085430887,15.379885215530072,,208.69332885742188,183.59477797944652,37.94419334968992,130.16495607037353,106.71081841205395,104.89840688719696,162.95202427228188,240.33523629928942,15.838255559738554,,222.73666381835938,187.39336295068352,37.982706480337235,108123900,51684000,16724900,26944100,33169200,545749000,,107390700,9887200,30706800
2022-06-17,129.6524658203125,106.6336898803711,104.13374328613281,162.971923828125,241.96688842773438,15.858227729797363,,216.75999450683594,186.02272033691406,37.96343994140625,131.15043105016284,108.18228586085846,105.60781063251633,165.12178002530368,244.75149220671116,15.973069829679215,,220.97000122070312,187.29544341004473,38.79466003475258,127.92783964673345,104.54616658355276,103.33222290064391,159.14992519347047,238.42996544684556,15.306984507524353,,213.19667053222656,182.00876595376693,37.86074073520366,128.18407944512376,105.528970887289,104.60360466897953,160.92157424527068,239.08458840742492,15.626545464540554,,213.43333435058594,183.0073509573057,38.5186591317948,134520300,51376000,30919900,31374200,43084800,630334000,,92641800,15089300,36838800
2022-06-21,133.89996337890625,111.01324462890625,106.7133560180664,156.3133087158203,247.9171600341797,16.543289184570312,,237.0366668701172,190.31082153320312,39.20867156982422,135.07271151353063,111.95424892421053,107.8189046629256,166.9730614578161,248.90397710820878,16.98468267040784,,243.57666015625,192.60171420693584,39.404443561828465,131.3869488476208,108.08325267016507,105.98553379911979,155.23837298611093,243.78421967026023,16.38450676600433,,224.3333282470703,189.66466772104542,37.94097786267418,131.48548988632155,108.41118312635855,106.75020857674929,165.15164384807628,244.51700861169755,16.452414335241084,,224.60333251953125,191.60312915751857,37.96665450369066,81000500,47416000,11680500,50724900,29928300,483089000,,122793000,6241600,23916600
2022-06-22,133.3875274658203,110.95703125,106.114501953125,155.11892700195312,247.32110595703125,16.337568283081055,,236.086669921875,189.75279235839844,38.733680725097656,135.76257275465719,112.80717945124134,107.05421748955557,160.03574112554074,251.26840324353233,16.639154235727236,,246.8333282470703,192.2688544382974,39.55527430550934,131.96840403366457,109.85728564039822,105.38667981845246,154.71084663209396,244.62443367591388,16.157814788761254,,233.82666015625,187.02133073371112,38.70158768496445,132.8356344352228,110.0304613100788,105.83811130945986,157.63705777251027,246.10955646054185,16.203751242608906,,234.50332641601562,187.23671533990836,39.18620067116448,73409200,30774000,9842700,47267800,25939900,437135000,,101107500,5138500,20235000
2022-06-23,136.2652130126953,111.70793151855469,104.95368194580078,158.0053253173828,252.9196319580078,16.202754974365234,,235.07000732421875,192.51361083984375,39.674034118652344,136.58056547968613,112.2060535832616,106.1145129287933,159.00063445324034,253.41793795165793,16.56226009847651,,239.31666564941406,193.31641073503528,39.783149749208256,133.66349125043254,109.97472459480133,102.70573212517753,153.52643420602394,247.809669777073,15.831264314401132,,228.6366729736328,189.3905489476082,38.89736985582812,134.83623972192547,111.69748342305398,105.95789482800652,155.53696291287554,249.7051527842737,16.49635060350386,,237.9066619873047,192.02410308090003,39.073881622931914,72433800,28362000,11851500,40499200,25861400,463680000,,104202600,4752800,18040800
2022-06-24,139.60604858398438,117.41365051269531,108.08606719970703,169.36180114746094,261.55682373046875,17.10251808166504,,245.7066650390625,201.19744873046875,39.706119537353516,139.85242378689094,117.51715954815482,108.5467135834475,169.45137532208366,261.8303970887869,17.11649882538618,,246.06666564941406,201.32472551234568,40.216405522535744,137.74345265151274,112.41504945457397,103.94946464181132,160.54336185948108,255.71404222828616,16.287636910270518,,236.086669921875,193.36532555949464,39.52639409255226,137.87155753149082,112.45735057227827,104.3179831545849,160.9713374852641,255.8019733273249,16.477376935581376,,237.47000122070312,193.58071014178358,39.824865263349125,89116800,41164000,14841100,68736000,33923200,472153000,,95770800,7754800,31845900
